,Ticker,Name,Exchange,Category Name,Country
14528,KHODAY.BO,Khoday India Limited,BSE,,India
14532,KBIL.NS,Kirloskar Brothers Investments Ltd.,NSI,,India
14535,KHANDSE.BO,Khandwala Securities Limited,BSE,,India
14536,KHAITANLTD.BO,Khaitan (India) Ltd.,BSE,,India
14540,KGL.NS,Karuturi Global Limited,NSI,Farm Products,India
14559,KESARENT.NS,Kesar Enterprises Limited,NSI,,India
14561,KENNAMET.BO,Kennametal India Limited,BSE,,India
14562,KENGI.BO,KENGOLD (INDIA) LTD.,BSE,,India
14563,KEMP.BO,Kemp & Co. Ltd,BSE,,India
14567,KEC.NS,KEC International Limited,NSI,Diversified Utilities,India
14572,KDDL.BO,KDDL Limited,BSE,,India
14577,KCPSUGIND.NS,K.C.P. Sugar and Industries Corporation Limited,NSI,Confectioners,India
14580,KCP.BO,The KCP Limited,BSE,,India
14599,KAYCEEI.BO,Kaycee Industries Ltd.,BSE,,India
14600,KATWAUD.BO,Shri Keshav Cements and Infra Limited,BSE,,India
14601,KATRSPG.BO,Katare Spinning Mills Ltd.,BSE,,India
14662,GKCONS.BO,G.K. Consultants Limited,BSE,,India
14681,ESKAY.BO,Eskay K'n'IT (India) Limited,BSE,,India
14684,EKC.NS,Everest Kanto Cylinder Limited,NSI,Diversified Machinery,India
14692,DAICHI.BO,Dai-Ichi Karkaria Limited,BSE,,India
14735,ABMKNO.BO,ABM Knowledgeware Limited,BSE,,India
15308,KRITIIND.BO,Kriti Industries (India) Ltd.,BSE,,India
15312,KAJARIR.BO,KIC Metaliks Ltd.,BSE,,India
15315,KSLIND.BO,KSL and Industries Ltd,BSE,,India
15342,APOWERTOOL.BO,CONSORTEX KARL DOELITZCH (INDI,BSE,,India
15353,KILBURNC.BO,Kilburn Chemicals Limited,BSE,,India
15363,KAIRA.BO,Kaira Can Company Limited,BSE,,India
15405,KSL.NS,Kalyani Steels Limited,NSI,Steel & Iron,India
15432,KUSHAL.BO,KUSHAL TRADELINK LTD,BSE,,India
15436,KANELIND.BO,KANEL INDUSTRIES LIMITED,BSE,,India
15441,KANSAINER.NS,Kansai Nerolac Paints Limited,NSI,Specialty Chemicals,India
15495,KANDAGIRI.BO,KANDAGIRI SPINNING MILLS LTD.,BSE,,India
15500,SKUMARSYN.NS,S. Kumars Nationwide Ltd.,NSI,,India
15504,KICL-EQ.NS,KALYANI INVESTMENT COMPANY LIMI,NSI,,India
15726,MRF.NS,MRF Limited,NSI,Rubber & Plastics,India
15745,TATASTEEL.NS,Tata Steel Limited,NSI,Steel & Iron,India
15747,SPICEJET.BO,SpiceJet Limited,BSE,,India
15751,RPOWER.BO,Reliance Power Limited,BSE,,India
15752,RELIANCE.NS,Reliance Industries Limited,NSI,Oil & Gas Refining & Marketing,India
15760,NOCIL.NS,NOCIL Limited,NSI,Chemicals - Major Diversified,India
15780,ICIL.NS,Indo Count Industries Limited,NSI,Textile Industrial,India
15790,WARNER.BO,Warner Multimedia Ltd.,BSE,,India
15791,WALCHPF.BO,Walchand Peoplefirst Limited,BSE,,India
15801,TCS.NS,Tata Consultancy Services Limited,NSI,Information Technology Services,India
15802,TCI.BO,Transport Corp. of India Ltd.,BSE,,India
15804,SURANAIND.NS,Surana Industries Limited,NSI,Steel & Iron,India
15806,STANPACK.BO,Stanpacks (India) Limited,BSE,,India
15814,SASKEN.NS,Sasken Technologies Limited,NSI,Technical & System Software,India
15820,RENUKA.BO,Shree Renuka Sugars Limited,BSE,,India
15821,RELINFRA.NS,Reliance Infrastructure Limited,NSI,Electric Utilities,India
